Name;qualifiedName;Lines;BlankLines;CodeLines;CommentLines;AverageLines;AverageCommentLines;AverageComplexity;MaximumComplexity;RatioComment/Code;usesClasses;usedbyClasses;ownedFunctions;
_bad_endl_use_dendl_t;sca.analysis.FileLevel.ceph-master.src.common.dout.h._bad_endl_use_dendl_t; 1;0; 1;0;1;0; 1; 1;0.00;[];[];['_bad_endl_use_dendl_t', '_bad_endl_use_dendl_t', '_bad_endl_use_dendl_t', '~DoutPrefix   ', '~DoutPrefixProvider   ', '~NoDoutPrefix   ', 'add_prefix', 'DoutPrefix', 'DoutPrefix', 'DoutPrefixPipe', 'DoutPrefixPipe', 'DoutPrefixPipe', 'DoutPrefixProvider   ', 'gen_prefix', 'gen_prefix', 'gen_prefix', 'gen_prefix', 'get_cct   ', 'get_cct   ', 'get_cct   ', 'get_subsys   ', 'get_subsys   ', 'NoDoutPrefix', 'NoDoutPrefix', 'NoDoutPrefix', '~_bad_endl_use_dendl_t   ', 'operator type-parameter-0-0   ', 'operator<<', 'operator='];
AccumulateArgs;sca.analysis.FileLevel.ceph-master.src.cls.cephfs.cls_cephfs.h.AccumulateArgs;53;4;49;0;9;0; 2; 3;0.00;[];[];['~AccumulateArgs   ', '~InodeTagFilterArgs   ', 'AccumulateArgs', 'AccumulateArgs   ', 'AccumulateArgs', 'AccumulateResult   ', 'decode', 'decode', 'decode', 'encode', 'encode', 'encode', 'encode', 'InodeTagFilterArgs', 'InodeTagFilterArgs', 'InodeTagFilterArgs   ', 'ObjCeiling   ', 'ObjCeiling', 'ObjCeiling', 'ObjCeiling', 'operator=', 'operator=', 'operator>'];
AccumulateResult;sca.analysis.FileLevel.ceph-master.src.cls.cephfs.cls_cephfs.h.AccumulateArgs.AccumulateResult;16;1;11;4;3;0; 1; 1;0.36;[];[];[];
ACLDisplayName_S3;sca.analysis.FileLevel.ceph-master.src.rgw.rgw_acl_s3.cc.ACLDisplayName_S3; 6;0; 6;0;1;0; 1; 1;0.00;[];[];['[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '~ACLDisplayName_S3   ', '~ACLEmail_S3   ', '~ACLID_S3   ', '~ACLURI_S3   ', 'ACLDisplayName_S3   ', 'ACLDisplayName_S3', 'ACLEmail_S3   ', 'ACLEmail_S3', 'ACLID_S3   ', 'ACLID_S3', 'ACLURI_S3   ', 'ACLURI_S3', 'alloc_obj', 'compare_group_name', 'create_canned', 'create_from_grants', 'get_acl_header', 'group_to_uri', 'operator=', 'operator=', 'operator=', 'parse_acl_header', 'parse_grantee_str', 'rebuild', 'set', 'to_str   ', 'to_string', 'to_xml', 'to_xml', 'to_xml', 'to_xml', 'xml_end', 'xml_end', 'xml_end', 'xml_end'];
ACLEmail_S3;sca.analysis.FileLevel.ceph-master.src.rgw.rgw_acl_s3.cc.ACLDisplayName_S3.ACLEmail_S3; 6;0; 6;0;1;0; 1; 1;0.00;[];[];[];
ACLGrant;sca.analysis.FileLevel.ceph-master.src.rgw.rgw_acl.h.ACLGrant;  122;8; 111;4;6;0; 1; 7;0.04;[];[];['~ACLGrant   ', '~ACLGrantee   ', '~ACLOwner   ', '~ACLPermission   ', '~RGWAccessControlPolicy   ', 'ACLGrant   ', 'ACLGrantee   ', 'ACLGrantee', 'ACLGranteeType   ', 'ACLGranteeType', 'ACLOwner   ', 'ACLPermission   ', 'ACLPermission', 'ACLReferer   ', 'ACLReferer', 'ACLReferer', 'compare_group_name', 'create_default', 'create_default', 'decode', 'decode', 'decode', 'decode', 'decode', 'decode', 'decode', 'decode', 'decode', 'decode', 'decode', 'decode', 'decode', 'decode_owner', 'dump', 'encode', 'encode', 'encode', 'encode', 'encode', 'encode', 'encode', 'encode', 'encode', 'encode', 'encode', 'encode', 'encode', 'get_acl   ', 'get_acl   ', 'get_display_name   ', 'get_grant_map   ', 'get_grant_map   ', 'get_http_host', 'get_id', 'get_id   ', 'get_id   ', 'get_owner   ', 'get_permission   ', 'get_permission   ', 'get_permissions   ', 'get_referer   ', 'get_type   ', 'get_type   ', 'get_type   ', 'is_match', 'operator=', 'operator=', 'operator=', 'operator=', 'RGWAccessControlList', 'RGWAccessControlList', 'RGWAccessControlPolicy   ', 'RGWAccessControlPolicy', 'RGWAccessControlPolicy', 'set_canon', 'set_ctx', 'set_ctx', 'set_group', 'set_id', 'set_name', 'set_owner', 'set_permissions', 'set_referer'];
ACLGrant_S3;sca.analysis.FileLevel.ceph-master.src.rgw.rgw_acl_s3.h.ACLGrant_S3;  126; 11; 113;2; 19;0; 4;10;0.02;[];[];['~ACLGrant_S3   ', '~ACLOwner_S3   ', '~ACLPermission_S3   ', '~RGWAccessControlList_S3   ', '~RGWAccessControlPolicy_S3   ', '~RGWACLXMLParser_S3   ', 'ACLGrant_S3   ', 'ACLGrant_S3', 'ACLGrantee_S3   ', 'ACLGrantee_S3', 'ACLOwner_S3   ', 'ACLOwner_S3', 'ACLPermission_S3   ', 'ACLPermission_S3', 'create_canned', 'operator=', 'operator=', 'operator=', 'operator=', 'operator=', 'operator=', 'operator=', 'operator=', 'RGWAccessControlList_S3', 'RGWAccessControlList_S3', 'RGWAccessControlPolicy_S3', 'RGWAccessControlPolicy_S3', 'RGWACLXMLParser_S3', 'RGWACLXMLParser_S3', 'xml_start', 'xml_start'];
ACLGrantee;sca.analysis.FileLevel.ceph-master.src.rgw.rgw_acl.h.ACLGrant.ACLGrantee; 6;0; 6;0;1;0; 1; 1;0.00;[];[];[];
ACLGrantee_S3;sca.analysis.FileLevel.ceph-master.src.rgw.rgw_acl_s3.h.ACLGrant_S3.ACLGrantee_S3; 8;1; 7;0;1;0; 1; 1;0.00;[];[];[];
ACLGranteeType_S3;sca.analysis.FileLevel.ceph-master.src.rgw.rgw_acl_s3.cc.ACLDisplayName_S3.ACLEmail_S3.ACLGranteeType_S3;30;1;29;0; 13;0; 4; 5;0.00;[];[];[];
ACLID_S3;sca.analysis.FileLevel.ceph-master.src.rgw.rgw_acl_s3.cc.ACLDisplayName_S3.ACLEmail_S3.ACLGranteeType_S3.ACLID_S3; 7;0; 7;0;1;0; 1; 1;0.00;[];[];[];
ACLOwner;sca.analysis.FileLevel.ceph-master.src.rgw.rgw_acl.h.ACLGrant.ACLGrantee.ACLGranteeType.ACLOwner;46;2;44;0;3;0; 1; 5;0.00;[];[];[];
ACLOwner_S3;sca.analysis.FileLevel.ceph-master.src.rgw.rgw_acl_s3.h.ACLGrant_S3.ACLGrantee_S3.ACLOwner_S3;36;4;30;2;7;0; 1; 2;0.07;[];[];[];
ACLPermission_S3;sca.analysis.FileLevel.ceph-master.src.rgw.rgw_acl_s3.h.ACLGrant_S3.ACLGrantee_S3.ACLOwner_S3.ACLPermission_S3;46;1;45;0;9;0; 2; 6;0.00;[];[];[];
