Name;ProgrammingLanguage;qualifiedName;location;Lines;CommentLines;BlankLines;PreprocessorLines;CodeLines;InactiveLines;ExecutableCodeLines;DeclarativeCodeLines;ExecutionStatements;DeclarationStatements;RatioComment/Code;Units;ontainedGlobalVariables;containedClasses;containedFunctions;usesSourceFiles;usedbySourceFiles;
CephCheck_link.c;C;ceph.cmake.modules.CephCheck_link;ceph/cmake/modules/CephCheck_link.c; 2;  0; 0;0;  2; 0;0;1;0;1;0.00;1;[];[];['main'];[];[];
FindStdFilesystem_test.cc;C++;ceph.cmake.modules.FindStdFilesystem_test;ceph/cmake/modules/FindStdFilesystem_test.cc; 14;  0; 1;7;  5; 4;2;2;2;2;0.00;1;[];[];['main'];[];[];
ceph_releases.py;Python;ceph.doc._ext.ceph_releases;ceph/doc/_ext/ceph_releases.py; 202;  9; 32;0;  162; 0;149;13;125;13;0.06;3;[];['CephReleases', 'CephTimeline'];[];[];[];
conf.py;Python;ceph.doc.conf;ceph/doc/conf.py; 147;  9; 20;0;  119; 0;107;12;61;11;0.08;5;[];[];[];[];[];
gen_state_diagram.py;Python;ceph.doc.scripts.gen_state_diagram;ceph/doc/scripts/gen_state_diagram.py; 216;  10; 24;0;  187; 0;168;19;152;19;0.05;15;[];[];[];[];[];
append_object.py;Python;ceph.examples.boto3.append_object;ceph/examples/boto3/append_object.py; 42;  3; 7;0;  32; 0;27;5;18;5;0.09;1;[];[];[];[];[];
get_notification.py;Python;ceph.examples.boto3.get_notification;ceph/examples/boto3/get_notification.py; 28;  5; 7;0;  16; 0;13;2;10;2;0.31;0;[];[];[];[];[];
get_usage_stats.py;Python;ceph.examples.boto3.get_usage_stats;ceph/examples/boto3/get_usage_stats.py; 17;  2; 4;0;  11; 0;8;3;5;3;0.18;0;[];[];[];[];[];
list_unordered.py;Python;ceph.examples.boto3.list_unordered;ceph/examples/boto3/list_unordered.py; 25;  4; 7;0;  14; 0;12;2;9;2;0.29;0;[];[];[];[];[];
topic_with_endpoint.py;Python;ceph.examples.boto3.topic_with_endpoint;ceph/examples/boto3/topic_with_endpoint.py; 41;  8; 8;0;  25; 0;21;4;14;4;0.32;0;[];[];[];[];[];
hello_radosstriper.cc;C++;ceph.examples.librados.hello_radosstriper;ceph/examples/librados/hello_radosstriper.cc; 102;  4; 10;4;  84; 0;39;13;30;13;0.05;1;[];[];['main'];[];['ceph.src.include.rados.librados.hpp'];
hello_world.cc;C++;ceph.examples.librados.hello_world;ceph/examples/librados/hello_world.cc; 289;  85; 19;3;  185; 0;72;24;59;25;0.46;1;[];[];['main'];[];['ceph.src.include.rados.librados.hpp'];
hello_world.cc;C++;ceph.examples.librbd.hello_world;ceph/examples/librbd/hello_world.cc; 220;  50; 23;5;  144; 0;80;23;58;24;0.35;1;[];[];['main'];[];['ceph.src.include.rados.librados.hpp', 'ceph.src.include.rbd.librbd.hpp'];
fusetrace_ll.cc;C++;ceph.fusetrace.fusetrace_ll;ceph/fusetrace/fusetrace_ll.cc; 1186;  40; 172;28;  951; 2;241;174;228;183;0.04;37;[];[];['ft_ll_create', 'ft_ll_flush', 'ft_ll_forget', 'ft_ll_fsync', 'ft_ll_getattr', 'ft_ll_link', 'ft_ll_lookup', 'ft_ll_mkdir', 'ft_ll_mknod', 'ft_ll_open', 'ft_ll_opendir', 'ft_ll_read', 'ft_ll_readdir', 'ft_ll_readlink', 'ft_ll_release', 'ft_ll_releasedir', 'ft_ll_rename', 'ft_ll_rmdir', 'ft_ll_setattr', 'ft_ll_statfs', 'ft_ll_symlink', 'ft_ll_unlink', 'ft_ll_write', 'add_dentry', 'add_inode', 'has_perm', 'main', 'make_ino_path', 'make_ino_path', 'make_inode_path', 'make_inode_path', 'print_time', 'remove_dentry', 'remove_inode', 'unlink_inode', 'Inode', 'lookup'];[];['ceph.src.include.unordered_map.h'];
conf.py;Python;ceph.man.conf;ceph/man/conf.py; 61;  3; 7;0;  52; 0;49;3;43;3;0.06;2;[];[];[];[];[];
create_async_snap.c;C;ceph.qa.btrfs.create_async_snap;ceph/qa/btrfs/create_async_snap.c; 34;  0; 4;12;  18; 0;8;6;7;7;0.00;1;[];[];['main'];[];[];
test_async_snap.c;C;ceph.qa.btrfs.test_async_snap;ceph/qa/btrfs/test_async_snap.c; 83;  0; 7;12;  64; 0;29;12;22;15;0.00;2;[];[];['check_return', 'main'];[];[];
test_rmdir_async_snap.c;C;ceph.qa.btrfs.test_rmdir_async_snap;ceph/qa/btrfs/test_rmdir_async_snap.c; 62;  0; 8;12;  42; 0;28;10;30;14;0.00;1;[];[];['main'];[];[];
ceph_objectstore_tool.py;Python;ceph.qa.standalone.special.ceph_objectstore_tool;ceph/qa/standalone/special/ceph_objectstore_tool.py; 2084;  107; 222;0;  1763; 0;1717;46;1652;46;0.06;30;[];[];[];[];[];
__init__.py;Python;ceph.qa.tasks.__init__;ceph/qa/tasks/__init__.py; 6;  1; 1;0;  4; 0;3;1;3;1;0.25;0;[];[];[];[];[];
admin_socket.py;Python;ceph.qa.tasks.admin_socket;ceph/qa/tasks/admin_socket.py; 194;  60; 25;0;  109; 0;97;12;49;12;0.55;3;[];[];[];[];[];
aver.py;Python;ceph.qa.tasks.aver;ceph/qa/tasks/aver.py; 67;  19; 13;0;  35; 0;30;5;27;4;0.54;1;[];[];[];[];[];
