Name;ProgrammingLanguage;qualifiedName;location;Lines;CommentLines;BlankLines;PreprocessorLines;CodeLines;InactiveLines;ExecutableCodeLines;DeclarativeCodeLines;ExecutionStatements;DeclarationStatements;RatioComment/Code;Units;containedClasses;containedFunctions;usesSourceFiles;usedbySourceFiles;
jni.h;C++;pytorch-master.pytorch-master..circleci.docker.java.jni;pytorch-master/pytorch-master/.circleci/docker/java/jni.h; 1143;  93; 158;112;  787; 24;190;612;323;623;0.12;234;['_jarray', '_jbooleanArray', '_jbyteArray', '_jcharArray', '_jclass', '_jdoubleArray', '_jfloatArray', '_jintArray', '_jlongArray', '_jobject', '_jobjectArray', '_jshortArray', '_jstring', '_jthrowable'];['__attribute__', 'JNI_CreateJavaVM', 'JNI_GetCreatedJavaVMs', 'JNI_GetDefaultJavaVMInitArgs', 'AttachCurrentThread', 'AttachCurrentThreadAsDaemon', 'DestroyJavaVM', 'DetachCurrentThread', 'GetEnv', 'AllocObject', 'CallBooleanMethod', 'CallBooleanMethodA', 'CallBooleanMethodV', 'CallByteMethod', 'CallByteMethodA', 'CallByteMethodV', 'CallCharMethod', 'CallCharMethodA', 'CallCharMethodV', 'CallDoubleMethod', 'CallDoubleMethodA', 'CallDoubleMethodV', 'CallFloatMethod', 'CallFloatMethodA', 'CallFloatMethodV', 'CallIntMethod', 'CallIntMethodA', 'CallIntMethodV', 'CallLongMethod', 'CallLongMethodA', 'CallLongMethodV', 'CallNonvirtualBooleanMethod', 'CallNonvirtualBooleanMethodA', 'CallNonvirtualBooleanMethodV', 'CallNonvirtualByteMethod', 'CallNonvirtualByteMethodA', 'CallNonvirtualByteMethodV', 'CallNonvirtualCharMethod', 'CallNonvirtualCharMethodA', 'CallNonvirtualCharMethodV', 'CallNonvirtualDoubleMethod', 'CallNonvirtualDoubleMethodA', 'CallNonvirtualDoubleMethodV', 'CallNonvirtualFloatMethod', 'CallNonvirtualFloatMethodA', 'CallNonvirtualFloatMethodV', 'CallNonvirtualIntMethod', 'CallNonvirtualIntMethodA', 'CallNonvirtualIntMethodV', 'CallNonvirtualLongMethod', 'CallNonvirtualLongMethodA', 'CallNonvirtualLongMethodV', 'CallNonvirtualObjectMethod', 'CallNonvirtualObjectMethodA', 'CallNonvirtualObjectMethodV', 'CallNonvirtualShortMethod', 'CallNonvirtualShortMethodA', 'CallNonvirtualShortMethodV', 'CallNonvirtualVoidMethod', 'CallNonvirtualVoidMethodA', 'CallNonvirtualVoidMethodV', 'CallObjectMethod', 'CallObjectMethodA', 'CallObjectMethodV', 'CallShortMethod', 'CallShortMethodA', 'CallShortMethodV', 'CallStaticBooleanMethod', 'CallStaticBooleanMethodA', 'CallStaticBooleanMethodV', 'CallStaticByteMethod', 'CallStaticByteMethodA', 'CallStaticByteMethodV', 'CallStaticCharMethod', 'CallStaticCharMethodA', 'CallStaticCharMethodV', 'CallStaticDoubleMethod', 'CallStaticDoubleMethodA', 'CallStaticDoubleMethodV', 'CallStaticFloatMethod', 'CallStaticFloatMethodA', 'CallStaticFloatMethodV', 'CallStaticIntMethod', 'CallStaticIntMethodA', 'CallStaticIntMethodV', 'CallStaticLongMethod', 'CallStaticLongMethodA', 'CallStaticLongMethodV', 'CallStaticObjectMethod', 'CallStaticObjectMethodA', 'CallStaticObjectMethodV', 'CallStaticShortMethod', 'CallStaticShortMethodA', 'CallStaticShortMethodV', 'CallStaticVoidMethod', 'CallStaticVoidMethodA', 'CallStaticVoidMethodV', 'CallVoidMethod', 'CallVoidMethodA', 'CallVoidMethodV', 'DefineClass', 'DeleteGlobalRef', 'DeleteLocalRef', 'DeleteWeakGlobalRef', 'EnsureLocalCapacity', 'ExceptionCheck', 'ExceptionClear', 'ExceptionDescribe', 'ExceptionOccurred', 'FatalError', 'FindClass', 'FromReflectedField', 'FromReflectedMethod', 'GetArrayLength', 'GetBooleanArrayElements', 'GetBooleanArrayRegion', 'GetBooleanField', 'GetByteArrayElements', 'GetByteArrayRegion', 'GetByteField', 'GetCharArrayElements', 'GetCharArrayRegion', 'GetCharField', 'GetDirectBufferAddress', 'GetDirectBufferCapacity', 'GetDoubleArrayElements', 'GetDoubleArrayRegion', 'GetDoubleField', 'GetFieldID', 'GetFloatArrayElements', 'GetFloatArrayRegion', 'GetFloatField', 'GetIntArrayElements', 'GetIntArrayRegion', 'GetIntField', 'GetJavaVM', 'GetLongArrayElements', 'GetLongArrayRegion', 'GetLongField', 'GetMethodID', 'GetObjectArrayElement', 'GetObjectClass', 'GetObjectField', 'GetObjectRefType', 'GetPrimitiveArrayCritical', 'GetShortArrayElements', 'GetShortArrayRegion', 'GetShortField', 'GetStaticBooleanField', 'GetStaticByteField', 'GetStaticCharField', 'GetStaticDoubleField', 'GetStaticFieldID', 'GetStaticFloatField', 'GetStaticIntField', 'GetStaticLongField', 'GetStaticMethodID', 'GetStaticObjectField', 'GetStaticShortField', 'GetStringChars', 'GetStringCritical', 'GetStringLength', 'GetStringRegion', 'GetStringUTFChars', 'GetStringUTFLength', 'GetStringUTFRegion', 'GetSuperclass', 'GetVersion', 'IsAssignableFrom', 'IsInstanceOf', 'IsSameObject', 'MonitorEnter', 'MonitorExit', 'NewBooleanArray', 'NewByteArray', 'NewCharArray', 'NewDirectByteBuffer', 'NewDoubleArray', 'NewFloatArray', 'NewGlobalRef', 'NewIntArray', 'NewLocalRef', 'NewLongArray', 'NewObject', 'NewObjectA', 'NewObjectArray', 'NewObjectV', 'NewShortArray', 'NewString', 'NewStringUTF', 'NewWeakGlobalRef', 'PopLocalFrame', 'PushLocalFrame', 'RegisterNatives', 'ReleaseBooleanArrayElements', 'ReleaseByteArrayElements', 'ReleaseCharArrayElements', 'ReleaseDoubleArrayElements', 'ReleaseFloatArrayElements', 'ReleaseIntArrayElements', 'ReleaseLongArrayElements', 'ReleasePrimitiveArrayCritical', 'ReleaseShortArrayElements', 'ReleaseStringChars', 'ReleaseStringCritical', 'ReleaseStringUTFChars', 'SetBooleanArrayRegion', 'SetBooleanField', 'SetByteArrayRegion', 'SetByteField', 'SetCharArrayRegion', 'SetCharField', 'SetDoubleArrayRegion', 'SetDoubleField', 'SetFloatArrayRegion', 'SetFloatField', 'SetIntArrayRegion', 'SetIntField', 'SetLongArrayRegion', 'SetLongField', 'SetObjectArrayElement', 'SetObjectField', 'SetShortArrayRegion', 'SetShortField', 'SetStaticBooleanField', 'SetStaticByteField', 'SetStaticCharField', 'SetStaticDoubleField', 'SetStaticFloatField', 'SetStaticIntField', 'SetStaticLongField', 'SetStaticObjectField', 'SetStaticShortField', 'Throw', 'ThrowNew', 'ToReflectedField', 'ToReflectedMethod', 'UnregisterNatives'];[];[];
generate_test_asset.cpp;C++;pytorch-master.pytorch-master.android.pytorch_android.generate_test_asset;pytorch-master/pytorch-master/android/pytorch_android/generate_test_asset.cpp; 20;  0; 4;6;  10; 0;0;0;0;1;0.00;0;[];[];[];[];
cmake_macros.h;C++;pytorch-master.pytorch-master.android.pytorch_android.src.main.cpp.cmake_macros;pytorch-master/pytorch-master/android/pytorch_android/src/main/cpp/cmake_macros.h; 3;  1; 1;1;  0; 0;0;0;0;0;0.00;0;[];[];[];[];
pytorch_jni_common.h;C++;pytorch-master.pytorch-master.android.pytorch_android.src.main.cpp.pytorch_jni_common;pytorch-master/pytorch-master/android/pytorch_android/src/main/cpp/pytorch_jni_common.h; 95;  1; 19;20;  49; 14;22;31;7;28;0.02;5;['JIValue', 'Trace'];['common_registerNatives', 'JIValueToAtIValue', 'newJIValueFromAtIValue', 'beginSection', 'endSection', 'ensureInit', 'init', 'Trace', '~Trace'];[];[];
pytorch_jni_jit.cpp;C++;pytorch-master.pytorch-master.android.pytorch_android.src.main.cpp.pytorch_jni_jit;pytorch-master/pytorch-master/android/pytorch_android/src/main/cpp/pytorch_jni_jit.cpp; 237;  10; 31;28;  114; 59;56;54;34;42;0.09;21;['final', 'PytorchJni'];['once', '_s', 'inputs', 'inputs', 'JNI_OnLoad', 'output', 'output', 'initHybrid', 'preModuleLoadSetupOnce', 'registerNatives', 'MemoryReadAdapter', 'read', 'size', '~MemoryReadAdapter', 'no_autograd_guard', 'no_optimizer_guard', 'non_var_guard', 'forward', 'preModuleLoadSetup', 'PytorchJni', 'runMethod'];[];[];
pytorch_jni_lite.cpp;C++;pytorch-master.pytorch-master.android.pytorch_android.src.main.cpp.pytorch_jni_lite;pytorch-master/pytorch-master/android/pytorch_android/src/main/cpp/pytorch_jni_lite.cpp; 114;  9; 19;10;  78; 0;36;38;23;28;0.12;11;['PytorchJni'];['inputs', 'inputs', 'JNI_OnLoad', 'output', 'output', 'initHybrid', 'registerNatives', 'non_var_guard', 'forward', 'PytorchJni', 'runMethod'];[];[];
AccumulateType.h;C++;pytorch-master.pytorch-master.aten.src.ATen.AccumulateType;pytorch-master/pytorch-master/aten/src/ATen/AccumulateType.h; 50;  4; 7;13;  25; 6;19;25;19;60;0.16;0;[];[];[];[];
ArrayRef.h;C++;pytorch-master.pytorch-master.aten.src.ATen.ArrayRef;pytorch-master/pytorch-master/aten/src/ATen/ArrayRef.h; 2;  0; 0;2;  0; 0;0;0;0;0;0.00;0;[];[];[];[];
ATen.h;C++;pytorch-master.pytorch-master.aten.src.ATen.ATen;pytorch-master/pytorch-master/aten/src/ATen/ATen.h; 28;  0; 1;27;  0; 0;0;0;0;0;0.00;0;[];[];[];[];
autocast_mode.h;C++;pytorch-master.pytorch-master.aten.src.ATen.autocast_mode;pytorch-master/pytorch-master/aten/src/ATen/autocast_mode.h; 13;  2; 3;1;  9; 0;0;9;0;7;0.22;0;[];['clear_cache', 'decrement_nesting', 'increment_nesting', 'is_enabled', 'set_enabled'];[];[];
